Packing Type	Packaging Title	Qty	G.W.	N.W.	Item Code
20 X 100 GM	AJP-SWAD(20X100 GM) --- AJWAIN POWDER	20	2.300	2.000	05117931035
20 X 100 GM	AJP-SWAD(20X100 GM) --- AJWAIN POWDER	20	2.300	2.000	05117931035
20 X 100 GM	AS-SWAD(20 X 100 GM) --- AJWAIN SEEDS	20	2.325	2.000	05117931022
20 X 100 GM	AS-SWAD(20 X 100 GM) --- AJWAIN SEEDS	20	2.325	2.000	05117931022
12 X 180 GM	AS-SWAD(12 X 180 GM) --- AJWAIN SEEDS	12	2.784	2.160	05117961097
12 X 180 GM	AS-SWAD(12 X 180 GM) --- AJWAIN SEEDS	12	2.784	2.160	05117961097
12 X 200 GM	AS-SWADN(12 X 200GM) --- AJWAIN SEEDS	12	4.060	2.400	05117961097
20 X 200 GM	AS-SWAD(20 X 200 GM) --- AJWAIN SEEDS	20	4.427	4.000	05117931020
12 X 200 GM	AS-SWADN(12 X 200GM) --- AJWAIN SEEDS	12	4.060	2.400	05117961097
20 X 200 GM	AS-SWAD(20 X 200 GM) --- AJWAIN SEEDS	20	4.427	4.000	05117931020
12 X 290 GM	AS-NY(12 X 290 GM) --- AJWAIN SEEDS	12	3.842	3.480	05117914360
12 X 290 GM	AS-NY(12 X 290 GM) --- AJWAIN SEEDS	12	3.842	3.480	05117914360
20 X 400 GM	AS-SWAD(20 X 400 GM) --- AJWAIN SEEDS	20	8.660	8.000	05117931030
20 X 400 GM	AS-SWAD(20 X 400 GM) --- AJWAIN SEEDS	20	8.660	8.000	05117931030
10 X 800 GM	AS-SWAD(10 X 800 GM) --- AJWAIN SEEDS	10	8.630	8.000	05117931026
10 X 800 GM	AS-SWAD(10 X 800 GM) --- AJWAIN SEEDS	10	8.630	8.000	05117931026
12 X 480 GM	AHP-ALL(12 X 480 GM) --- AMBA HALDER PICKLE	12	9.492	5.760	05117924250
12 X 480 GM	AHP-ALL(12 X 480 GM) --- AMBA HALDER PICKLE	12	9.492	5.760	05117924250
40 X 100 GM	AP-SWAD(40 X 100 GM) --- AMCHUR POWDER	40	4.467	4.000	05117934000
40 X 100 GM	AP-SWAD(40 X 100 GM) --- AMCHUR POWDER	40	4.467	4.000	05117934000
20 X 200 GM	AP-SWAD(20 X 200 GM) --- AMCHUR POWDER	20	4.380	4.000	05117934010
20 X 200 GM	AP-SWAD(20 X 200 GM) --- AMCHUR POWDER	20	4.380	4.000	05117934010
20 X 400 GM	AP-SWAD(20 X 400 GM) --- AMCHUR POWDER	20	8.520	8.000	05117934020
20 X 400 GM	AP-SWAD(20 X 400 GM) --- AMCHUR POWDER	20	8.520	8.000	05117934020
20 X 200 GM	AS-SWAD(20X 200 GM) --- AMCHUR SLICE	20	4.660	4.000	05117931100
20 X 200 GM	AS-SWAD(20X 200 GM) --- AMCHUR SLICE	20	4.660	4.000	05117931100
1 X 20 KG	AB-ALL(1 X 20 KG) --- AMLA IN BRINE	1	40.000	20.000	05117939110
1 X 20 KG	AB-ALL(1 X 20 KG) --- AMLA IN BRINE	1	40.000	20.000	05117939110
12 X 200 GM	AP-SWAD(12 X 200 GM) --- AMLA POWDER	12	2.820	2.400	05117998004
12 X 200 GM	AP-SWAD(12 X 200 GM) --- AMLA POWDER	12	2.820	2.400	05117998004
20 X 200 GM	ASD-SWAD(20 X200 GM) --- AMLA SALTED DRY	20	4.380	4.000	05117953106
20 X 200 GM	ASD-SWAD(20 X200 GM) --- AMLA SALTED DRY	20	4.380	4.000	05117953106
20 X 200 GM	AN-SWAD(20 X 200 GM) --- ANARDANA	20	4.471	4.000	05117931140
20 X 200 GM	AN-SWAD(20 X 200 GM) --- ANARDANA	20	4.471	4.000	05117931140
20 X 100 GM	ANP-SWAD(20 X100 GM) --- ANARDANA POWDER	20	2.325	2.000	05117931133
20 X 100 GM	ANP-SWAD(20 X100 GM) --- ANARDANA POWDER	20	2.325	2.000	05117931133
20 X 100 GM	ANI-SWA(20 X 100 GM) --- ANIS SEEDS	20	2.325	2.000	05117931195
20 X 100 GM	ANI-SWA(20 X 100 GM) --- ANIS SEEDS	20	2.325	2.000	05117931195
20 X 100 GM	AT-SWAD(20 X 100 GM) --- ANISTAR	20	2.440	2.000	05117931183
20 X 100 GM	AT-SWAD(20 X 100 GM) --- ANISTAR	20	2.440	2.000	05117931183
20 X 200 GM	AT-SWAD(20 X 200 GM) --- ANISTAR	20	4.700	4.000	05117931184
20 X 200 GM	AT-SWAD(20 X 200 GM) --- ANISTAR	20	4.700	4.000	05117931184
20 X 200 GM	ANJ-SWA(20 X 200 GM) --- ANJEER	20	4.460	4.000	05117919200
20 X 200 GM	ANJ-SWA(20 X 200 GM) --- ANJEER	20	4.460	4.000	05117919200
20 X 200 GM	APD-SWA(20 X 200 GM) --- APRICOT DRIED	20	4.270	4.000	05117919051
20 X 200 GM	APD-SWA(20 X 200 GM) --- APRICOT DRIED	20	4.270	4.000	05117919051
20 X 400 GM	ARP-SWAD(20 X400 GM) --- ARAROOT POWDER	20	8.520	8.000	05117917310
20 X 400 GM	ARP-SWAD(20 X400 GM) --- ARAROOT POWDER	20	8.520	8.000	05117917310
20 X 200 GM	AS-NY(20 X 200GM) --- ASARIO	20	4.280	4.000	05117966109
20 X 200 GM	AS-NY(20 X 200GM) --- ASARIO	20	4.280	4.000	05117966109
20 X 400 GM	AT-SWAD(20 X 400 GM) --- ASSAM TEA	20	8.700	8.000	05117940020
20 X 400 GM	AT-SWAD(20 X 400 GM) --- ASSAM TEA	20	8.700	8.000	05117940020
12 X 100 GM	AGP-SWAD(12X 100 GM) --- ASWAGANDHA POWDER	12	1.830	1.200	05117998011
12 X 100 GM	AGP-SWAD(12X 100 GM) --- ASWAGANDHA POWDER	12	1.830	1.200	05117998011
16 X 2 LBS	BF-SWAD(16 X 2 LBS) --- BAJRI FLOUR	16	15.252	14.528	05117917260
16 X 2 LBS	BF-SWAD(16 X 2 LBS) --- BAJRI FLOUR	16	15.252	14.528	05117917260
10 X 4 LBS	BF-SWAD(10 X 4 LBS) --- BAJRI FLOUR	10	18.802	18.160	05117917250
10 X 4 LBS	BF-SWAD(10 X 4 LBS) --- BAJRI FLOUR	10	18.802	18.160	05117917250
20 X 200 GM	BM-SWA(20 X 200 GM) --- BAJRI MAMRA (20 X 200 GM)	20	4.250	4.000	05117924097
20 X 200 GM	BM-SWA(20 X 200 GM) --- BAJRI MAMRA (20 X 200 GM)	20	4.250	4.000	05117924097
10 X 400 GM	BJM-ALL(10 X 400 GM) --- BAJRI MAMRA	10	4.360	4.000	05117924035
10 X 400 GM	BJM-ALL(10 X 400 GM) --- BAJRI MAMRA	10	4.360	4.000	05117924035
20 X 400 GM	BJF-SWAD(20 X400 GM) --- BARLEY JAV FLOUR	20	8.425	8.000	05117911225
20 X 400 GM	BJF-SWAD(20 X400 GM) --- BARLEY JAV FLOUR	20	8.425	8.000	05117911225
10 X 4 LBS	BJF-SWAD(10 X 4 LBS) --- BARLEY JAV FLOUR	10	18.932	18.160	05117911235
10 X 4 LBS	BJF-SWAD(10 X 4 LBS) --- BARLEY JAV FLOUR	10	18.932	18.160	05117911235
80 X 50 GM	BL-SWAD(80 X 50 GM) --- BAY LEAVES0	80	4.810	4.000	05117932450
80 X 50 GM	BL-SWAD(80 X 50 GM) --- BAY LEAVES0	80	4.810	4.000	05117932450
20 X 100 GM	BMW-SWA(20 X 100 GM) --- BIRYANI MASALA WHOLE	20	2.550	2.000	05117934625
20 X 100 GM	BMW-SWA(20 X 100 GM) --- BIRYANI MASALA WHOLE	20	2.550	2.000	05117934625
40 X 100 GM	BPP-SWA(40 X 100 GM) --- BLACK PEPPER COARSE	40	4.480	4.000	05117934062
40 X 100 GM	BPP-SWA(40 X 100 GM) --- BLACK PEPPER COARSE	40	4.480	4.000	05117934062
20 X 100 GM	BSP-SWAD(20 X100 GM) --- BLACK SALT POWDER	20	2.300	2.000	05117934080
40 X 100 GM	BSP-SWA(40 X 100 GM) --- BLACK SALT POWDER	40	4.425	4.000	05117934080
20 X 100 GM	BSP-SWAD(20 X100 GM) --- BLACK SALT POWDER	20	2.300	2.000	05117934080
40 X 100 GM	BSP-SWA(40 X 100 GM) --- BLACK SALT POWDER	40	4.425	4.000	05117934080
20 X 400 GM	BSP-SWAD(20 X400 GM) --- BLACK SALT POWDER	20	8.380	8.000	05117934095
20 X 400 GM	BSP-SWAD(20 X400 GM) --- BLACK SALT POWDER	20	8.380	8.000	05117934095
20 X 100 GM	BSR-SWAD(20X100 GM) --- BLACK SALT ROCK	20	2.300	2.000	05117934091
20 X 100 GM	BSR-SWAD(20X100 GM) --- BLACK SALT ROCK	20	2.300	2.000	05117934091
50 X 1 CTN	CD-SWAD(50 X 1 CTN) --- CALENDAR DATTA	1	7.180	6.715	05117954003
50 X 1 CTN	CD-SWAD(50 X 1 CTN) --- CALENDAR DATTA	1	7.180	6.715	05117954003
20 X 100 GM	CB-SWAD(20 X 100 GM) --- CARDAMOM BLACK	20	2.380	2.000	05117931230
20 X 100 GM	CB-SWAD(20 X 100 GM) --- CARDAMOM BLACK	20	2.380	2.000	05117931230
20 X 200 GM	CB-SWAD(20 X 200 GM) --- CARDAMOM BLACK	20	4.520	4.000	05117931240
20 X 200 GM	CB-SWAD(20 X 200 GM) --- CARDAMOM BLACK	20	4.520	4.000	05117931240
40 X 100 GM	CDP-SWA(40 X 100 GM) --- CARDAMOM POWDER	40	4.467	4.000	05117934140
40 X 100 GM	CDP-SWA(40 X 100 GM) --- CARDAMOM POWDER	40	4.467	4.000	05117934140
20 X 50 GM	CP-SWAD(20 X 50 GM) --- CARDAMOM POWDER	20	1.325	1.000	05117934145
20 X 50 GM	CP-SWAD(20 X 50 GM) --- CARDAMOM POWDER	20	1.325	1.000	05117934145
12 X 250 ML	COIL-ALL(12 X 250 ML) --- CASTOR OIL ML	12	3.308	2.868	05117920524
12 X 250 ML	COIL-ALL(12 X 250 ML) --- CASTOR OIL ML	12	3.308	2.868	05117920524
4 X 10 LBS	CF-SWAD(4 X 10 LBS) --- CHAPATI GLUTEN FREEFLOUR	4	18.983	18.160	05117916090
4 X 10 LBS	CF-SWAD(4 X 10 LBS) --- CHAPATI GLUTEN FREEFLOUR	4	18.983	18.160	05117916090
10 X 4 LBS	CF-SWAD(10 X 4 LBS) --- CHAPATI GLUTEN FREEFLOUR	10	18.895	18.160	05117916080
10 X 4 LBS	CF-SWAD(10 X 4 LBS) --- CHAPATI GLUTEN FREEFLOUR	10	18.895	18.160	05117916080
20 X 100 GM	CHW-SWA(20 X 100 GM) --- CHARGOOND WHOLE	20	2.298	2.000	05117932255
20 X 100 GM	CHW-SWA(20 X 100 GM) --- CHARGOOND WHOLE	20	2.298	2.000	05117932255
20 X 100 GM	CH-SWAD(20 X 100 GM) --- CHAROLI	20	2.300	2.000	05117931610
20 X 100 GM	CH-SWAD(20 X 100 GM) --- CHAROLI	20	2.300	2.000	05117931610
12 X 130 GM	CC-SWAD(12 X 130 GM) --- CHILLI CRUSHED	12	3.220	1.560	05117961037
12 X 130 GM	CC-SWAD(12 X 130 GM) --- CHILLI CRUSHED	12	3.220	1.560	05117961037
12 X 200 GM	CP-SWAD(12 X 200 GM) --- CHILLI POWDER	12	4.060	2.400	05117961085
12 X 200 GM	CP-SWAD(12 X 200 GM) --- CHILLI POWDER	12	4.060	2.400	05117961085
40 X 100 GM	CPF-SWA(40 X 100 GM) --- CHILLI POWDER FINE	40	4.467	4.000	05117934230
40 X 100 GM	CPF-SWA(40 X 100 GM) --- CHILLI POWDER FINE	40	4.467	4.000	05117934230
10 X 4 LBS	CHD-SWAD(10 X 4 LBS) --- CHORA DAL	10	18.860	18.160	05117910070
10 X 4 LBS	CHD-SWAD(10 X 4 LBS) --- CHORA DAL	10	18.860	18.160	05117910070
20 X 100 GM	CIP-SWAD(20 X100 GM) --- CINNAMON POWDER	20	2.300	2.000	05117934280
20 X 100 GM	CIP-SWAD(20 X100 GM) --- CINNAMON POWDER	20	2.300	2.000	05117934280
20 X 100 GM	CR-SWAD(20 X 100 GM) --- CINNAMON ROUND	20	2.440	2.000	05117931650
